C_time,R_time,ET1,ET2,ET3,norm_E1,norm_E2,norm_E3,norm_E4,norm_E5,norm_E6,norm_E7,norm_E8,norm_E9,norm_E10,norm_E11,norm_E12,norm_E13,norm_E14,norm_E15,norm_E16,norm_E17,norm_E18,norm_E19,norm_E20,norm_E21,norm_E22,norm_E23,norm_E24,norm_E25,norm_E26,norm_E27,norm_E28,norm_E29,norm_E30,norm_E31,norm_E32,RK_t1,RK_t2,RK_t3,RK_t4,RK_t5,RK_t6,RK_t7,RK_t8,RK_t9,RK_t10,RK_t11,RK_t12,RK_t13,RK_t14,RK_t15,RK_t16,RK_t17,RK_t18,RK_t19,RK_t20,RK_t21,RK_t22,RK_t23,RK_t24,RK_t25,RK_t26,RK_t27,RK_t28,RK_t29,RK_t30,RK_t31,RK_t32
0,0.999989,0.0746315,3.69303e-007,1.76065e-006,0.892112,4.41448e-006,2.1046e-005,6.47694e-005,0.000152789,0.000303729,0.000535145,0.000861172,0.00129037,0.00182397,0.00245469,0.00316624,0.00393369,0.00472454,0.00550055,0.00622025,0.00684177,0.00732596,0.00763946,0.00775751,0.0076662,0.00736406,0.00686279,0.00618703,0.0053732,0.00446745,0.00352287,0.00259609,0.00174362,0.00101808,0.000464655,0,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989
5,0.886753,0.0746177,0.000120898,1.40146e-006,0.908185,0.00147148,1.70574e-005,5.47694e-005,0.000128798,0.000255471,0.000449513,0.000722739,0.0010823,0.0015292,0.00205733,0.00265307,0.00329552,0.00395748,0.00460696,0.00520924,0.00572928,0.00613433,0.00639649,0.00649503,0.00641833,0.00616517,0.00574535,0.00517949,0.0044981,0.0037398,0.00294903,0.00217319,0.00145957,0.000852224,0.000388955,0,0.886753,0.886743,0.886743,0.886743,0.886743,0.886743,0.886743,0.886744,0.886744,0.886745,0.886745,0.886746,0.886746,0.886747,0.886747,0.886748,0.886749,0.886749,0.88675,0.886751,0.886751,0.886752,0.886752,0.886752,0.886753,0.886753,0.886753,0.886753,0.886753,0.886753,0.886753,0.886753
10,0.57686,0.0744965,0.000254645,1.03565e-006,0.950337,0.00324846,1.32116e-005,2.89887e-005,6.8964e-005,0.000135094,0.000235649,0.000376712,0.000561891,0.00079165,0.00106281,0.00136837,0.00169761,0.00203659,0.00236894,0.00267691,0.00294258,0.00314923,0.0032826,0.00333213,0.00329191,0.00316137,0.00294553,0.00265501,0.00230541,0.00191654,0.00151115,0.00111351,0.000747818,0.00043662,0.000199267,0,0.57686,0.576831,0.576829,0.57683,0.57683,0.576831,0.576831,0.576832,0.576833,0.576834,0.576836,0.576837,0.576839,0.576841,0.576843,0.576844,0.576846,0.576848,0.57685,0.576852,0.576853,0.576854,0.576856,0.576857,0.576858,0.576858,0.576859,0.576859,0.57686,0.57686,0.57686,0.57686
15,0.139396,0.0743589,0.000266998,1.22949e-006,0.990994,0.00355832,1.63857e-005,6.41711e-006,1.40467e-005,2.39761e-005,3.76076e-005,5.5616e-005,7.82921e-005,0.000105574,0.000137015,0.000171774,0.000208629,0.000246033,0.000282201,0.00031522,0.000343185,0.000364334,0.000377188,0.000380679,0.000374247,0.000357909,0.000332292,0.000298614,0.000258633,0.000214546,0.000168863,0.000124247,8.33464e-005,4.86197e-005,2.21756e-005,0,0.139396,0.139365,0.139363,0.139363,0.139363,0.139364,0.139364,0.139365,0.139367,0.139368,0.139369,0.139371,0.139373,0.139375,0.139377,0.139379,0.139381,0.139383,0.139385,0.139387,0.139388,0.13939,0.139391,0.139392,0.139393,0.139394,0.139395,0.139395,0.139395,0.139396,0.139396,0.139396
20,-0.328826,0.0743659,0.000256107,1.11985e-006,0.984173,0.00338938,1.48203e-005,1.01429e-005,2.42679e-005,4.42643e-005,7.30604e-005,0.000112323,0.000162902,0.000224807,0.000297116,0.000377929,0.00046441,0.000552913,0.000639182,0.00071863,0.00078665,0.000838957,0.000871927,0.000882895,0.000870412,0.000834406,0.000776264,0.0006988,0.000606129,0.000503431,0.000396644,0.000292091,0.000196068,0.000114434,5.22122e-005,0,-0.328826,-0.328834,-0.328834,-0.328833,-0.328833,-0.328833,-0.328833,-0.328833,-0.328833,-0.328832,-0.328832,-0.328831,-0.328831,-0.328831,-0.32883,-0.32883,-0.328829,-0.328829,-0.328828,-0.328828,-0.328827,-0.328827,-0.328827,-0.328826,-0.328826,-0.328826,-0.328826,-0.328826,-0.328826,-0.328826,-0.328826,-0.328826
25,-0.724005,0.0743298,0.000154005,2.67838e-007,0.931928,0.00193087,3.35809e-006,3.98798e-005,9.72823e-005,0.000190749,0.000333443,0.000534096,0.000797789,0.00112518,0.00151177,0.00194755,0.00241725,0.00290099,0.00337539,0.00381511,0.00419456,0.00448986,0.00468065,0.00475183,0.00469493,0.00450912,0.00420156,0.00378737,0.00328884,0.00273421,0.00215594,0.00158867,0.00106695,0.000622961,0.000284314,0,-0.724005,-0.723986,-0.723984,-0.723984,-0.723984,-0.723985,-0.723985,-0.723986,-0.723986,-0.723987,-0.723988,-0.723989,-0.72399,-0.723992,-0.723993,-0.723994,-0.723996,-0.723997,-0.723998,-0.723999,-0.724,-0.724001,-0.724002,-0.724003,-0.724003,-0.724004,-0.724004,-0.724005,-0.724005,-0.724005,-0.724005,-0.724005
30,-0.957886,0.074226,0.000178466,8.85118e-006,0.891976,0.00214464,0.000106365,7.91207e-005,0.000150907,0.000297503,0.000524854,0.000844691,0.00126554,0.00178873,0.00240712,0.00310476,0.00385718,0.00463253,0.00539332,0.00609888,0.00670817,0.00718282,0.00749013,0.00760581,0.00751623,0.00721996,0.00672847,0.00606591,0.00526799,0.00437996,0.00345387,0.00254524,0.00170947,0.000998137,0.000455552,0,-0.957886,-0.957868,-0.957869,-0.95787,-0.95787,-0.95787,-0.957871,-0.957871,-0.957872,-0.957873,-0.957873,-0.957874,-0.957875,-0.957876,-0.957877,-0.957878,-0.957879,-0.95788,-0.957881,-0.957882,-0.957882,-0.957883,-0.957884,-0.957884,-0.957885,-0.957885,-0.957886,-0.957886,-0.957886,-0.957886,-0.957886,-0.957886
35,-0.97846,0.0742086,0.000627753,1.47716e-005,0.896054,0.00758,0.000178364,5.29525e-005,0.00013178,0.000272789,0.000478654,0.000769252,0.00115221,0.00162815,0.00219061,0.00282509,0.00350935,0.0042144,0.00490617,0.00554769,0.00610163,0.00653311,0.00681239,0.00691741,0.00683578,0.00656621,0.00611911,0.00551648,0.00479077,0.00398315,0.00314093,0.00231461,0.00155456,0.000907687,0.000414269,0,-0.97846,-0.978477,-0.978482,-0.978481,-0.978481,-0.978481,-0.97848,-0.97848,-0.978479,-0.978478,-0.978477,-0.978476,-0.978475,-0.978474,-0.978472,-0.978471,-0.97847,-0.978468,-0.978467,-0.978466,-0.978465,-0.978464,-0.978463,-0.978462,-0.978462,-0.978461,-0.978461,-0.978461,-0.97846,-0.97846,-0.97846,-0.97846
40,-0.782272,0.0740259,0.00106661,2.10721e-005,0.932988,0.0134431,0.000265583,1.44473e-005,8.69792e-005,0.000153077,0.00026847,0.000430959,0.000643312,0.00090725,0.00121888,0.00157013,0.00194872,0.00233862,0.00272098,0.00307537,0.00338119,0.00361916,0.0037729,0.00383023,0.00378434,0.00363453,0.00338661,0.00305274,0.00265089,0.00220383,0.00173773,0.0012805,0.000859983,0.000502116,0.000229161,0,-0.782272,-0.782329,-0.782326,-0.782325,-0.782325,-0.782324,-0.782322,-0.782321,-0.782319,-0.782317,-0.782314,-0.782311,-0.782309,-0.782305,-0.782302,-0.782299,-0.782296,-0.782292,-0.782289,-0.782286,-0.782284,-0.782281,-0.782279,-0.782277,-0.782276,-0.782274,-0.782273,-0.782273,-0.782272,-0.782272,-0.782272,-0.782272
45,-0.413843,0.0736552,0.00111921,3.49196e-005,0.972343,0.014775,0.000460984,4.26419e-005,2.26659e-005,3.91863e-005,6.87712e-005,0.00010627,0.000156554,0.000218006,0.000290259,0.000371314,0.000458339,0.000547662,0.000634976,0.000715628,0.000784936,0.000838532,0.000872714,0.000884745,0.000873117,0.000837718,0.000779915,0.000702522,0.000609677,0.000506601,0.000399287,0.000294125,0.000197481,0.000115279,5.26044e-005,0,-0.413843,-0.413906,-0.413894,-0.413895,-0.413894,-0.413894,-0.413892,-0.413891,-0.413889,-0.413887,-0.413884,-0.413882,-0.413879,-0.413876,-0.413873,-0.41387,-0.413866,-0.413863,-0.41386,-0.413857,-0.413855,-0.413852,-0.41385,-0.413848,-0.413847,-0.413846,-0.413845,-0.413844,-0.413844,-0.413843,-0.413843,-0.413843
